age,employment_years,annual_income_inr,loan_amount_inr,loan_tenure_months,interest_rate_pct,credit_score,num_existing_loans,dti_ratio,ltv_ratio,has_collateral,bureau_enquiries_6m,missed_payments_2y,savings_account_balance_inr,ltv_ratio_missing,high_missed_payments,app_month,app_quarter,app_days_since_ref,loan_to_income_ratio,dti_credit_risk,income_per_year_employed,monthly_income,emi_burden_ratio,credit_enquiry_risk,repayment_risk_score,loan_to_savings_ratio,savings_buffer_months,loan_per_month,age_employment_gap,credit_band,dti_band,gender_Male,education_Graduate,education_No_Formal,education_Post_Graduate,education_Undergraduate,state_DL,state_GJ,state_KA,state_MH,state_RJ,state_TN,state_TS,state_UP,state_WB,urban_rural_Semi_Urban,urban_rural_Urban,employment_type_Government,employment_type_Retired,employment_type_Salaried,employment_type_Self_Employed,loan_type_Education_Loan,loan_type_Gold_Loan,loan_type_Home_Loan,loan_type_MSME_Loan,loan_type_Personal_Loan
51,24,2997778,2293444,240,9.67,652,3,0.334,-1.0,1,2,1,431238,1,0,11,4,329,0.7650477236647532,0.35858895705521476,119911.12,249814.83333333334,0.07397984341798458,2.144936417956182,5.362341044890456,5.318266668830973,1.726223651423215,9516.365145228216,27,1.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53,27,1085608,3828364,120,12.16,627,1,0.179,0.924,0,2,2,497604,0,0,10,4,293,3.526466711311347,0.19984051036682615,38771.71428571428,90467.33333333333,0.4288140071111439,2.2303648239604907,8.921459295841963,7.6935802493946,5.500311342827141,31639.371900826445,26,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
38,14,2733782,1822982,36,9.0,743,4,0.104,-1.0,0,1,3,488461,1,0,8,3,229,0.6668349316679488,0.09798115746971736,182252.13333333333,227815.16666666666,0.06001490236645483,0.9412397472098966,9.412397472098966,3.732085607478166,2.144101567272443,49269.78378378379,24,3.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
47,17,2790269,1599343,60,11.84,852,3,0.409,-1.0,0,1,1,202352,1,0,2,1,403,0.5731857490493751,0.3360328638497653,155014.94444444444,232522.41666666666,0.06786492514553194,0.8209217778820219,3.2836871115280877,7.90372764426522,0.870243534611747,26218.737704918032,30,4.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
48,13,1347857,3108842,180,14.27,606,1,0.395,-1.0,0,7,1,249891,1,0,10,4,652,2.3065055814484907,0.45627062706270627,96275.5,112321.41666666667,0.32913566036461994,8.076479314323388,11.537827591890554,12.44074240071711,2.224765166347768,17175.922651933703,35,0.0,2.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
24,3,2387249,3664680,48,11.37,550,2,0.275,-1.0,0,3,1,498840,1,0,2,1,31,1.535105246622683,0.35000000000000003,596812.25,198937.41666666666,0.17454066229038212,3.8133284910114402,7.6266569820228804,7.346388929538671,2.507509652275139,74789.38775510204,21,0.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
52,9,1152683,4382954,120,10.84,679,1,0.166,-1.0,0,4,1,432579,1,0,12,4,336,3.8023899004410575,0.1711340206185567,115268.3,96056.91666666667,0.4121751318432022,4.11946446961895,7.209062821833162,10.13212353784271,4.5033144066730575,36222.760330578516,43,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
55,15,2844583,2933310,36,13.78,665,0,0.463,-1.0,0,1,1,72573,1,0,8,3,580,1.031191204056551,0.4873684210526316,177786.4375,237048.58333333334,0.14209759842789568,1.0515247108307046,4.206098843322819,40.41819384352523,0.3061511392658709,79278.64864864865,40,1.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
30,15,2470489,1206947,120,9.28,749,0,0.521,-1.0,0,7,0,127833,1,0,11,4,673,0.4885455921699744,0.4869158878504673,154405.5625,205874.08333333334,0.04533682908851281,6.5359477124183005,6.5359477124183005,9.441517906034388,0.6209250674255951,9974.768595041322,15,3.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
49,8,896789,1692455,240,10.77,814,2,0.231,-1.0,1,3,3,155963,1,0,10,4,284,1.887236699784788,0.19864864864864867,99643.22222222222,74732.41666666667,0.2032528994726812,2.5776359396096726,10.31054375843869,10.85157472237183,2.086924523946784,7022.634854771784,41,4.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
59,17,968253,2645792,60,16.56,776,2,0.217,-1.0,0,7,2,123228,1,0,6,2,180,2.732539189097076,0.19574742268041237,53791.833333333336,80687.75,0.4525033489798763,6.308742114072358,11.716235354705809,21.470530475780862,1.5272017474555002,43373.639344262294,42,3.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
57,2,2554730,1547781,24,12.63,740,1,0.117,-1.0,0,2,0,219484,1,0,6,2,171,0.6058489132515321,0.11067567567567568,851576.6666666666,212894.16666666666,0.07651838827560671,1.8901039557175647,1.8901039557175647,7.051875982413377,1.0309487220235938,61911.24,55,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
49,9,955040,1204956,120,15.8,667,3,0.41,-1.0,1,1,1,103646,1,0,3,1,453,1.261679865052914,0.4302848575712144,95504.0,79586.66666666667,0.1993431226781369,1.0483750187209824,4.1935000748839295,11.62557526990651,1.3022872053040042,9958.314049586777,40,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
34,12,1116929,4282095,84,17.94,787,1,0.164,-1.0,0,5,1,428483,1,0,8,3,237,3.833807848298461,0.14587039390088946,85917.61538461539,93077.41666666667,0.6877783544520257,4.443315983242352,7.109305573187762,9.993593693113395,4.603462492647329,50377.58823529412,22,3.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,793484,4651674,48,13.1,857,2,0.074,0.484,1,0,2,219654,0,0,9,3,269,5.862333881547856,0.060443407234539094,396742.0,66123.66666666667,0.7679550924012218,0.0,4.896817068905213,21.177182399672212,3.321816367064232,94932.12244897959,25,4.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
65,1,1060205,3123746,180,10.95,645,3,0.238,-1.0,0,2,0,241507,1,0,4,2,98,2.9463575946561327,0.25829457364341085,530102.5,88350.41666666667,0.32262280929281456,2.1681895617159674,2.1681895617159674,12.934337578879374,2.7334819192674704,17258.265193370167,64,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
56,28,2574288,1263567,84,13.1,638,0,0.143,0.772,0,7,0,191724,0,0,2,1,43,0.49084116041361325,0.1568965517241379,88768.55172413793,214524.0,0.06429991725906072,7.671833411617348,7.671833411617348,6.5905176685356635,0.8937140193450647,14865.494117647058,28,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,8,1952825,2510639,24,13.52,715,0,0.626,-1.0,0,0,0,365500,1,0,1,1,393,1.2856439846663246,0.6128671328671329,216980.55555555556,162735.41666666666,0.1738180876335301,0.0,0.0,6.8690345580449845,2.2459631807467804,100425.56,15,2.0,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
43,3,2401463,1927845,36,16.68,628,0,0.473,0.707,1,2,1,283945,0,0,8,3,602,0.8027790547765863,0.5272292993630573,600365.75,200121.91666666666,0.13390293298910044,2.2268172419277876,5.567043104819469,6.7894775767223345,1.4188529965958423,52103.91891891892,40,1.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
58,16,2281482,4570890,36,12.67,706,4,0.206,-1.0,1,0,3,223342,1,0,2,1,43,2.0034731795064875,0.20424929178470252,134204.82352941178,190123.5,0.2538388279785088,0.0,8.914673836139805,20.46578580927094,1.1747144634173923,123537.56756756757,42,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
36,4,438226,4686695,24,20.39,679,1,0.411,-1.0,0,0,0,342179,1,0,6,2,155,10.694674221351034,0.42371134020618556,87645.2,36518.833333333336,2.1805893384416684,0.0,0.0,13.696577824536794,9.369675838243145,187467.8,32,1.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
30,3,2534127,3966138,36,7.86,831,0,0.251,-1.0,0,8,0,316999,1,0,6,2,520,1.5650898455010955,0.2114320096269555,633531.75,211177.25,0.1230155278775158,6.733197066249851,6.733197066249851,12.511476340694006,1.5010968222342973,107192.91891891892,27,4.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
22,24,387420,4215703,36,12.63,576,4,0.31,-1.0,0,5,4,276882,1,0,1,1,368,10.881451960528727,0.3767361111111111,15496.8,32285.0,1.3742883626029858,6.0690133518293745,20.634645396219874,15.225575423554353,8.575915257387102,113937.91891891892,-2,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
24,7,2573270,4704218,12,11.0,795,3,0.352,-1.0,0,5,1,120656,1,0,9,3,243,1.8281082715345567,0.309937106918239,321658.75,214439.16666666666,0.20109105026188348,4.398642704536886,7.037828327259018,38.988355420738124,0.5626557835480138,361862.92307692306,17,3.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,2,1891392,1925589,120,9.19,899,3,0.596,-1.0,1,7,0,74550,1,0,1,1,378,1.01807979621369,0.4640711902113459,630464.0,157616.0,0.09356098913822747,5.446259864399245,5.446259864399245,25.82915051441295,0.4729819752945431,15913.95867768595,46,4.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
48,2,901210,3907160,120,20.86,611,1,0.061,-1.0,1,6,1,55897,1,0,12,4,341,4.335455292933619,0.06988543371522095,300403.3333333333,75100.83333333333,0.90436493560965,6.866110838646395,10.299166257969592,69.89802855200544,0.7442827627377051,32290.578512396693,46,0.0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,27,1640536,3573686,240,12.46,840,4,0.615,-1.0,0,0,1,32337,1,0,11,4,318,2.1783635480333574,0.5125000000000001,58590.57142857143,136711.33333333334,0.27142227816558856,0.0,2.4979184013322233,110.51042117632507,0.23653315843242623,14828.572614107883,16,4.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
63,30,2197936,954111,120,18.07,797,1,0.12,-1.0,0,4,0,126406,1,0,4,2,484,0.4340938798518793,0.1053952321204517,70901.16129032258,183161.33333333334,0.0784403715192534,3.5100915131001633,3.5100915131001633,7.54792851661696,0.690130976711005,7885.214876033057,33,3.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
58,20,420320,2969639,180,12.25,561,4,0.548,-1.0,0,6,1,150414,1,0,8,3,580,7.0651692397001336,0.6837789661319074,20015.238095238095,35026.666666666664,0.8654605823491908,7.477301050382767,11.21595157557415,19.742971113253333,4.294148435046583,16406.8453038674,38,0.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,1,2528482,351353,36,11.43,696,0,0.17,-1.0,1,1,0,163000,1,0,10,4,665,0.13895802344726066,0.17097701149425287,1264241.0,210706.83333333334,0.015882832982795293,1.0047366154729438,1.0047366154729438,2.1555266532107167,0.7735830102820097,9496.027027027027,41,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,12,2565468,2662719,240,20.08,826,3,0.502,-1.0,0,5,0,322710,1,0,7,3,207,1.037907298821385,0.42542372881355933,197343.6923076923,213789.0,0.20841089199681928,4.233700254022016,4.233700254022016,8.251094632658942,1.5094719116890407,11048.626556016598,43,4.0,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63,26,350256,1973500,12,14.16,551,0,0.244,-1.0,1,5,0,304291,1,0,7,3,567,5.634434144071354,0.3099818511796733,12972.444444444445,29188.0,0.7978108191441982,6.344027551205365,6.344027551205365,6.485546777437461,10.424851827743328,151807.6923076923,37,0.0,1.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,26,476891,549647,240,10.31,599,0,0.52,-1.0,0,0,0,324581,1,0,9,3,611,1.152560747506773,0.6076794657762938,17662.62962962963,39740.916666666664,0.11882627221887891,0.0,0.0,1.6933995107553714,8.167220587834423,2280.6929460580914,25,0.0,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
42,30,1966348,1779693,48,16.64,580,1,0.453,-1.0,0,0,1,459325,1,0,5,2,487,0.9050748366642951,0.5467241379310345,63430.58064516129,163862.33333333334,0.1506036103256779,0.0,3.6163251248493196,3.8745749206445965,2.8030981102137957,36320.26530612245,12,0.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
34,14,2773093,3124892,36,21.81,885,3,0.551,-1.0,0,6,1,350988,1,0,2,1,404,1.1268611882611985,0.43581920903954807,184872.86666666667,231091.08333333334,0.2457674502768557,4.7420119679349675,7.113017951902451,8.903105225519887,1.5188231242596295,84456.54054054055,20,4.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
28,24,2031397,120312,48,12.18,642,2,0.378,-1.0,0,1,0,496272,1,0,6,2,178,0.05922620776430813,0.4121495327102804,81255.88,169283.08333333334,0.007213713043508225,1.0891551268087756,1.0891551268087756,0.24243108127986007,2.931592800858911,2455.3469387755104,4,1.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
32,4,1093943,1516037,180,20.76,719,2,0.636,-1.0,1,6,0,248859,1,0,3,1,81,1.3858451620923924,0.6191933240611961,218788.6,91161.91666666667,0.2876985627379554,5.835764902042518,5.835764902042518,6.091927187977176,2.7298270952644303,8375.895027624309,28,2.0,3.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,19,687123,1149257,240,16.4,834,3,0.324,-1.0,0,6,3,181149,1,0,2,1,35,1.6725612844261006,0.2719424460431655,34356.15,57260.25,0.27429565951377816,5.031747933389242,12.579369833473104,6.344228539884074,3.1635530135999477,4768.701244813278,20,4.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,17,1298890,354043,48,7.63,581,0,0.55,-1.0,0,6,3,91243,1,0,4,2,95,0.2725732952187674,0.6626506024096387,72160.55555555556,108240.83333333333,0.020797166298920165,7.220216606498195,18.050541516245488,3.880178422690807,0.8429550497266153,7225.367346938776,21,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
33,24,1684931,373539,48,12.67,752,4,0.455,-1.0,0,0,1,247787,1,0,8,3,233,0.22169381316278639,0.4235372340425532,67397.24,140410.91666666666,0.028088422753766745,0.0,2.789956157831806,1.5074943096517992,1.7647148894651037,7623.244897959184,9,3.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
27,14,2400149,3438163,48,9.38,620,1,0.352,-1.0,1,6,0,58213,1,0,6,2,180,1.4324783867674937,0.39741935483870966,160009.93333333332,200012.41666666666,0.13436585687376806,6.7665538907684875,6.7665538907684875,59.06075858041021,0.29104547569933853,70166.59183673469,13,0.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
62,27,2461862,1578928,12,11.88,736,1,0.219,0.497,0,5,1,320097,0,0,1,1,13,0.6413549413594501,0.20828804347826088,87923.64285714286,205155.16666666666,0.0761926265925876,4.750916248133569,7.601465997013711,4.932639379190123,1.5602601920325736,121456.0,35,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,22,1440255,4974034,60,17.91,660,4,0.436,0.685,0,8,0,318198,0,0,9,3,618,3.4535763086562388,0.46242424242424246,62619.782608695656,120021.25,0.6185307928321624,8.47585893749054,8.47585893749054,15.631834166669286,2.651158431040911,81541.54098360655,40,1.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53,1,2813107,4087253,36,21.98,786,0,0.283,0.852,0,8,4,24585,0,0,7,3,571,1.452931419625553,0.25203562340966923,1406553.5,234425.58333333334,0.3193530772782808,7.118342443116818,17.795856107792044,166.24310583258764,0.1048729186358629,110466.2972972973,52,3.0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
54,5,271773,2070180,60,18.85,891,2,0.341,-1.0,0,5,0,295188,1,0,3,1,439,7.617284949995216,0.26790123456790127,45295.5,22647.75,1.435800099343231,3.92508691263878,3.92508691263878,7.013066205041516,13.033302058612506,33937.37704918033,49,4.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
25,19,2252022,4635376,12,7.87,854,0,0.579,-1.0,0,4,0,304049,1,0,1,1,374,2.058316455915415,0.4745901639344262,112601.1,187668.5,0.16198871384712663,3.2760032760032765,3.2760032760032765,15.245439894754153,1.6201300690842146,356567.3846153846,6,4.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55,0,2620147,516238,240,9.76,578,2,0.569,-1.0,0,4,0,483552,1,0,10,4,640,0.1970262748516496,0.6891003460207612,2620147.0,218345.58333333334,0.01922968369476814,4.838430965958182,4.838430965958182,1.0675934178880082,2.2146075867914887,2142.066390041494,55,0.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
63,0,2095951,495223,120,12.65,825,3,0.402,-1.0,0,8,1,64370,1,0,4,2,100,0.2362759261662481,0.3410909090909091,2095951.0,174662.58333333334,0.029888747797551768,6.78212425820516,9.325420855032094,7.693262493980209,0.36853704001454224,4092.7520661157023,63,4.0,2.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
49,11,1469909,230771,48,12.8,672,0,0.07,-1.0,0,7,3,407221,1,0,2,1,55,0.15699668687198537,0.07291666666666667,122492.41666666667,122492.41666666667,0.02009542553647441,7.284079084287201,16.64932362122789,0.5666958072009862,3.3244317211605248,4709.6122448979595,38,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
35,3,2540298,1641549,84,15.09,888,0,0.257,-1.0,0,7,0,10357,1,0,3,1,65,0.6462030650722612,0.2025900900900901,635074.5,211691.5,0.09751162027469087,5.513671655226736,5.513671655226736,158.48127051554354,0.04892473753203349,19312.34117647059,32,4.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
33,6,281668,4587791,12,9.67,828,3,0.072,-1.0,0,0,2,296298,1,0,2,1,403,16.28788045542818,0.0608695652173913,40238.28571428572,23472.333333333332,1.5749765325901732,0.0,5.068179075660674,15.483653336663304,12.622749218971883,352907.0,27,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
21,10,454839,664209,12,16.43,878,1,0.07,-1.0,0,2,1,356384,1,0,5,2,136,1.460313516841087,0.055808656036446476,41349.0,37903.25,0.23992370842319788,1.5932627745533177,3.983156936383294,1.8637400563996802,9.402217429443928,51093.0,11,4.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
41,18,1169019,2420980,60,9.87,610,0,0.056,-1.0,0,3,1,383015,1,0,5,2,486,2.070948315683222,0.06426229508196721,61527.31578947369,97418.25,0.20440067543119045,3.4386769281152776,6.877353856230555,6.320832550076237,3.9316151581951204,39688.19672131148,23,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
29,26,1271670,1812662,60,11.3,592,2,0.533,-1.0,0,0,4,209995,1,0,7,3,562,1.4254174232171686,0.6302364864864864,47098.88888888889,105972.5,0.16107077555552413,0.0,14.17243124683651,8.631888226442408,1.9815803007355612,29715.77049180328,3,0.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
47,3,1598264,2331952,24,19.65,575,3,0.212,-1.0,1,7,0,275909,1,0,10,4,656,1.4590521596856592,0.25808695652173913,399566.0,133188.66666666666,0.28670177616381654,8.511377453534827,8.511377453534827,8.451857489761155,2.071549594688277,93278.08,44,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
46,18,2583330,2989437,180,16.79,693,3,0.295,-1.0,0,3,0,229798,1,0,7,3,551,1.157202464569968,0.29797979797979796,135964.73684210525,215277.5,0.194293466486435,3.027245206861756,3.027245206861756,13.008920839516273,1.067445193087094,16516.226519337015,28,2.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,19,2639479,347725,180,9.53,659,2,0.064,-1.0,0,1,0,317541,1,0,4,2,102,0.1317399639322897,0.06798179059180577,131973.95,219956.58333333334,0.012554766240915389,1.0610883735031076,1.0610883735031076,1.0950519931221696,1.4436465212421636,1921.132596685083,25,1.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
42,15,722774,3868887,240,15.04,629,2,0.284,-1.0,0,0,1,436198,1,0,7,3,189,5.352823492788212,0.3160572337042925,45173.375,60231.166666666664,0.8050524011256445,0.0,3.3349213911386375,8.86954578071018,7.241944365275476,16053.473029045643,27,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
